GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Diplom_2,kz.yandex.practicum.qa.sb.order,Order,353,56,78,0,8,5,51,11,12,11
Diplom_2,kz.yandex.practicum.qa.sb.order,OrderRestClient,0,110,2,6,0,27,2,8,0,6
Diplom_2,kz.yandex.practicum.qa.sb.order,IngredientsDeserializer,0,60,2,6,0,14,2,4,0,2
Diplom_2,kz.yandex.practicum.qa.sb.order,CreateOrderResponse,114,28,26,4,3,4,19,5,5,4
Diplom_2,kz.yandex.practicum.qa.sb.order,GetUserOrdersResponse,110,26,20,0,3,5,16,5,6,5
Diplom_2,kz.yandex.practicum.qa.sb.user,User,259,213,81,13,12,18,55,21,8,21
Diplom_2,kz.yandex.practicum.qa.sb.user,UserResponse,144,71,36,16,3,15,26,11,6,5
Diplom_2,kz.yandex.practicum.qa.sb.user,UserRestClient,132,188,17,11,36,48,18,6,5,5
Diplom_2,kz.yandex.practicum.qa.sb.common,CommonApiResponse,95,7,18,0,2,2,16,2,7,2
Diplom_2,kz.yandex.practicum.qa.sb.common,AuthorizationException,0,10,0,0,0,4,0,2,0,2
Diplom_2,kz.yandex.practicum.qa.sb.common,Constants,7,0,0,0,1,0,1,0,1,0
Diplom_2,kz.yandex.practicum.qa.sb.common,ApiException,0,10,0,0,0,4,0,2,0,2
Diplom_2,kz.yandex.practicum.qa.sb.common,ApiResponseValidator,18,62,4,10,2,12,5,4,1,1
Diplom_2,kz.yandex.practicum.qa.sb.common,CommonRestClient.new Jackson2ObjectMapperFactory() {...},35,3,0,0,8,1,1,1,1,1
Diplom_2,kz.yandex.practicum.qa.sb.common,CommonRestClient,0,26,0,0,0,6,0,2,0,2
Diplom_2,kz.yandex.practicum.qa.sb.ingredient,IngredientRestClient,21,88,3,5,6,20,5,6,3,4
Diplom_2,kz.yandex.practicum.qa.sb.ingredient,Ingredient,461,66,102,0,11,3,66,14,15,14
Diplom_2,kz.yandex.practicum.qa.sb.ingredient,IngredientsResponse,72,11,16,0,1,3,12,3,4,3
